c1,c2,c26,c27,c28,c29,c30,c31,c32,c33,c39,c139,c142,c143,c155,c157,c158,c160,c161,c162,c163,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c19,c20,c21,c22,c23,c34,c35,c36,c52,c241
44262,2,492.1180611,104.5234794,43.59703247,285.7784361,14.3276669,86.87859578,49.1035476,-68.90658362,0.500129297,13.00881499,57.91229048,44.49991608,16.6,29,24.9,800,450,200,100,2.326298656,19.91281419,9.112239296,0.611283874,59.48578877,10.72457105,35.19116449,0.000209863,21.11277051,32.250032,13.00881499,7.271291905,10.3826515,6.176224949,43.1212346,0.178710016,1.410363117,0.049950949,11.06195503,2.193391581
44263,2,491.6271655,104.5026434,42.22863459,285.185202,14.33908311,86.47210111,48.98917408,-68.86097878,0.500045507,13.01422755,57.03445423,44.49991608,16.6,29,24.9,800,450,200,100,2.332226334,19.91354341,9.026322348,0.627501802,61.49437808,10.88675943,34.97279848,0.000139773,20.36653647,32.01399531,13.01422755,7.215534418,10.41477483,6.095720537,44.28841863,0.135069733,1.400278147,0.049993858,10.96304819,2.092886207
44264,2,492.1219883,104.5051784,43.16645658,286.0079514,14.31826144,86.72820515,48.99159856,-68.96479544,0.499980985,13.64469484,57.61299855,44.49991608,16.6,29,24.9,800,450,200,100,2.344868221,19.79781483,8.896988415,0.623618464,61.2692729,10.77341005,35.15111492,0,20.6270173,33.74276964,13.64469484,7.846356065,10.93963995,5.877424595,43.72986491,0.135008212,1.400678298,0.050002581,10.65933306,2.120062073
44265,2,491.1913265,104.5276283,42.97423785,285.5543869,14.38723202,87.28923066,49.06290536,-68.97455204,0.500162623,13.86407541,57.76228383,44.49991608,15.9,29,24.5,800,440,200,100,2.374417745,19.78345346,8.888333112,0.619181416,61.01514751,10.83299099,35.34709409,0,20.63962752,33.91653993,13.86407541,8.305529555,11.36581724,5.614302605,43.59069794,0.135459905,1.398918344,0.050000013,10.71072306,2.13493655
44266,2,491.7246861,104.5039937,42.9742488,285.8659021,14.38505958,87.13354297,49.05532282,-68.95986114,0.500036357,13.8890446,57.6839851,44.49991608,15.7,29,24,800,440,200,100,2.361760718,19.77342669,8.889916389,0.641275474,61.04320079,10.93657937,35.36301612,0.000227404,20.37798138,33.96123882,13.8890446,8.368744172,11.51606746,5.589791496,43.63708618,0.134100185,1.399484175,0.049998663,10.72751364,2.131405137
44267,2,490.1584334,104.5393342,43.80664765,283.672063,14.39678919,86.66818441,48.9332523,-68.96968771,0.500127079,13.88724307,57.74270949,44.49991608,15.6,29,24.2,800,440,200,100,2.362366177,19.73214031,8.852426465,0.623250358,61.07184337,10.97679611,35.25078637,0,20.59760893,34.21802506,13.88724307,8.16635952,11.67240992,5.500051876,43.72406126,0.135948128,1.39997846,0.05000571,10.63880816,2.136415488
44268,2,491.9141318,104.4622204,42.48480316,285.2667383,14.38922348,87.05221268,49.15270114,-68.86263432,0.499963254,14.06773197,57.38140451,43.93417686,15.9,28.5,24.3,800,440,200,100,2.357227188,19.56105758,8.81541507,0.611744958,61.23517697,11.14990968,35.42964968,0.00104068,20.67575746,35.01052173,14.06773197,8.132690035,11.727188,5.542609942,43.42504673,0.134554212,1.391211551,0.050005211,10.74136113,2.115402
44269,2,493.5919834,104.4622204,42.22421679,286.456111,14.38625804,86.79506076,49.19846318,-68.8588163,0.500212849,14.22015357,57.2279987,43.49993134,15.5,28.8,24.1,800,440,200,100,2.361360521,19.46637399,8.779254374,0.601913623,60.69634966,11.03046757,35.33148953,0.000254723,20.86815358,35.43682175,14.22015357,8.205933145,11.87792641,5.249008222,43.03489897,0.133638502,1.392006003,0.050014463,10.83184975,2.125651349
44270,2,493.7471326,104.4870264,41.86331173,287.1005818,14.45600353,87.28294427,49.1431147,-68.91784206,0.49998814,14.19955434,57.28838266,43.49993134,14.9,29,24,800,440,200,100,2.362769666,19.53061019,8.77964757,0.607965066,60.69256783,10.98425865,35.57379484,0,20.76660051,35.17534369,14.19955434,8.277076276,11.86097947,4.881302084,43.29403427,0.13449498,1.391142688,0.050045061,10.92863067,2.127875959
44271,2,493.205735,104.5020987,42.14463126,286.1798184,14.41253493,87.05423956,49.3238299,-68.79117422,0.500108118,14.360473,57.29645552,43.49993134,14.8,29,24.1,800,460,200,60,2.357118663,19.38234336,8.775903863,0.603758901,60.13125237,10.99485196,35.58323349,0.001742858,20.84926561,35.62078824,14.360473,8.320274722,11.75975263,4.981346018,43.2479688,0.137244171,1.388039645,0.050006494,11.07810539,2.148614335
44272,2,492.8439192,104.5324402,41.80485159,285.4437979,14.35083092,86.6777884,49.30426326,-68.65324614,0.500082944,14.6332432,56.94052512,43.49993134,15.7,29,23.7,820,460,200,48,2.356984582,19.67414772,8.137165342,0.588903504,59.56100601,11.03603191,36.39692616,0.000488034,21.0109185,36.16533424,14.6332432,8.412047844,11.84848643,4.644012208,42.77319177,0.13845806,1.388095329,0.049965199,11.05210362,2.15716034
44273,2,492.3508379,104.5807405,43.69872027,285.6954562,14.4114549,86.46637387,49.23021205,-68.8334583,0.500038541,15.00182329,57.74053577,44.93495388,15.7,29,23.6,800,460,200,100,2.348231555,19.64473572,8.31886857,0.587557419,59.35276989,11.08286045,36.43887227,0,21.20155426,35.49724871,15.00182329,8.719743141,11.99791269,4.407121189,42.2161583,0.137603022,1.387036297,0.050003523,11.01112317,2.193075309
44274,2,493.0614658,104.5125,42.41897467,287.5926083,14.55401124,87.73324958,49.41663011,-68.63066962,0.500249447,14.47692393,57.82866665,45.73068407,15.6,29,23.5,800,460,200,100,2.349390743,19.65327214,9.022862667,0.61134443,59.76688921,11.1085181,35.89809715,0,20.92594706,33.29263026,14.47692393,8.656273956,11.86070682,4.359389809,42.77832447,0.138476585,1.387372075,0.049998851,10.66089191,2.177664355
44275,2,492.3542959,104.4862881,44.78608745,287.0641702,14.60040621,86.05666392,49.29912074,-68.74131214,0.500190114,13.42359547,58.10740205,47,15.6,29,23.5,840,450,200,100,2.319542859,19.61709995,9.016631804,0.600316026,59.33684656,11.13296682,35.90517776,0.003305969,20.99111693,33.56644783,13.42359547,6.132459306,9.916557827,3.741090544,43.24415109,0.138454912,1.38738369,0.049999032,10.33052339,2.205084344
44276,2,491.8199226,104.4522118,44.79408555,286.4995951,14.59977223,86.0093278,49.42294469,-68.61238436,0.499966549,13.15285525,58.03813203,47,15.2,29,23.2,840,450,200,100,2.301621715,19.64687521,8.97779569,0.605363974,59.69769549,11.14355631,36.3222834,0.00069675,21.35494952,34.522172,13.15285525,5.535740266,9.569114793,3.911449382,43.72020306,0.140845572,1.392288786,0.050006706,10.65604193,2.191096529
44277,2,491.5292964,104.4717974,45.40316313,286.1138189,14.52778433,85.93714739,49.64027694,-68.68646585,0.500182791,13.18056813,58.2866177,47,15.2,29,23.2,840,450,200,100,2.307776207,19.64322142,9.012313651,0.603895116,59.56019046,11.06025012,36.39834371,0,21.05575785,34.24515034,13.18056813,5.565927787,9.883953154,4.580477974,44.32130317,0.134781205,1.392308941,0.050002417,10.44724355,2.205169418
44278,2,493.3235661,104.4956899,45.66329433,287.8008036,14.54000568,86.42257033,49.72334957,-68.60121631,0.500573079,13.22064293,58.80073964,47,15.2,29,23.2,840,450,200,100,2.330263206,19.62124608,9.278602591,0.621884037,60.29624902,11.07809292,35.7332357,0,20.35283048,33.01551015,13.22064293,8.145454391,10.3586448,6.037510461,44.30299118,0.137406901,1.400835843,0.050008605,10.12424218,2.190614952
44279,2,493.4700937,104.4912222,42.80897443,288.3991936,14.5306583,84.44136706,49.41811102,-68.74021863,0.499361688,12.40287126,56.43709364,44.4711848,15.2,29,23.2,840,450,200,100,2.355538035,19.64178842,9.570695158,0.696763763,60.47159683,10.7811058,32.39984835,0.839433822,17.70496052,28.82527493,12.40287126,7.477799626,9.839235513,6.008963549,45.88578796,0.138393181,1.44418288,0.050014537,10.85957166,2.104299343
44280,2,492.6564828,104.5004773,37.86900111,288.0688654,14.27263376,81.91807326,49.3227442,-68.87479871,0.49949791,12.30178331,52.90148939,38,15.2,29,23.2,840,450,200,100,2.298328178,19.39115971,7.542845686,0.612053247,58.06314398,10.64207622,32.46305401,1.000300149,18.78929993,32.06124793,12.30178331,6.825590912,10.70375259,6.048749444,44.56740042,0.138223694,1.393241246,0.050024497,10.57748302,2.063048367
44281,2,491.5293458,104.4678315,38.65788637,286.5818655,14.27986443,82.62167613,49.85315664,-68.43296127,0.507077055,12.36467815,53.49888457,38.56436002,15.2,29,23.2,840,450,200,100,2.242343129,19.37863953,6.731930972,0.531253114,58.16614139,11.07604282,36.05590833,0.40935303,20.87308772,36.39549072,12.36467815,6.836615575,11.36069165,6.711951881,43.67119121,0.136850576,1.373807922,0.049999396,10.46069003,2.085054288
44282,2,491.8726268,104.5117586,35.57541172,288.2519835,14.36150104,84.20836441,50.1076991,-68.32877947,0.530333758,11.68241588,52.9068775,36.26278094,15.2,29,23.2,840,450,200,100,2.266162044,19.60962804,7.446966501,0.563661072,59.31910411,11.17569575,35.11683879,0,19.94390155,33.80665152,11.68241588,6.212526677,10.94003463,8.188332072,45.251394,0.138697824,1.422445908,0.050004746,11.84904055,2.019311956
44283,2,491.8008223,104.5324402,35.54373365,288.123339,14.3620593,84.44336724,49.98856595,-68.43036092,0.530645724,11.77173495,53.06730119,36.00001526,15.2,29,23.2,840,450,200,100,2.267519263,19.56460547,7.625286917,0.565399411,59.09710118,11.18185736,35.08142177,0.00186532,19.94302905,33.73523592,11.77173495,6.604896553,10.45583196,8.034304097,45.51851238,0.138558773,1.415661042,0.049989776,12.4735057,2.030338181
44284,2,492.6559916,104.4412105,35.65836401,289.1261907,14.36044132,84.27762694,49.85608747,-68.63327708,0.53065764,11.70224597,52.78343622,36.00001526,15.2,29,23.2,840,450,200,100,2.262026168,19.54752861,7.685207996,0.562522497,59.15287375,11.19140852,34.9335493,0.000445527,19.97469763,33.67592271,11.70224597,6.957219763,10.36779726,8.486514351,45.48890508,0.139079089,1.360777847,0.049986496,12.02245837,2.017321118
44285,2,493.2851677,104.4814001,35.66690167,289.3109512,14.36648244,85.04478202,50.13930803,-68.37544793,0.538382091,12.38698617,53.26447396,36.00001526,15.2,29,23.2,840,450,200,100,2.254187752,19.55358422,7.882588777,0.562679189,59.10859134,11.30468353,35.32562008,0,20.34794859,33.9044082,12.38698617,7.555613133,9.962893917,7.253798168,44.66252558,0.137754179,1.359600619,0.049989195,12.10838092,2.035563721
