Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
28.1,08-02-2018,Thursday,09:25:00,73.9,15,CE,25700,Sell,08-02-2018,Thursday,09:35:00,144.9,-1065,-96.07577808,08-02-2018,Stop Loss Hit,182.65,69.9
28.2,08-02-2018,Thursday,09:25:00,131.3,15,PE,25700,Sell,08-02-2018,Thursday,15:19:00,0.1,1968,99.92383854,08-02-2018,Exit Condition Met For Trade,136.7,0.05
29,09-02-2018,,09:25:00,25461.6,,,,,09-02-2018,,12:29:00,25508.3,-255,,,,25598.3,25371
29.1,09-02-2018,Friday,09:25:00,320,15,CE,25500,Sell,09-02-2018,Friday,12:29:00,345,-375,-7.8125,15-02-2018,Stop Loss Hit,379.95,270
29.2,09-02-2018,Friday,09:25:00,386.5,15,PE,25500,Sell,09-02-2018,Friday,09:53:00,378.5,120,2.069857697,15-02-2018,Stop Loss Hit,395.05,303
30,12-02-2018,,09:25:00,25623.2,,,,,12-02-2018,,14:20:00,25691.4,-930,,,,25705.65,25509.55
30.1,12-02-2018,Monday,09:25:00,272.05,15,CE,25600,Sell,12-02-2018,Monday,14:20:00,269.05,45,1.102738467,15-02-2018,Stop Loss Hit,277.55,193.45
30.2,12-02-2018,Monday,09:25:00,227.6,15,PE,25600,Sell,12-02-2018,Monday,09:55:00,292.6,-975,-28.55887522,15-02-2018,Stop Loss Hit,292.85,217.6
31,14-02-2018,,09:25:00,25717.85,,,,,14-02-2018,,15:19:00,25346.75,1181.25,,,Exit Condition Met For Trade,25727.75,25338.9
31.1,14-02-2018,Wednesday,09:25:00,170,15,CE,25700,Sell,14-02-2018,Wednesday,15:19:00,20.25,2246.25,88.08823529,15-02-2018,Exit Condition Met For Trade,174,19.1
31.2,14-02-2018,Wednesday,09:25:00,136.1,15,PE,25700,Sell,14-02-2018,Wednesday,09:38:00,207.1,-1065,-52.16752388,15-02-2018,Stop Loss Hit,222.2,132
32,15-02-2018,,09:25:00,25431.85,,,,,15-02-2018,,14:52:00,25299.5,-870,,,,25615.15,25295.15
32.1,15-02-2018,Thursday,09:25:00,98.7,15,CE,25400,Sell,15-02-2018,Thursday,10:01:00,148.7,-750,-50.6585613,15-02-2018,Stop Loss Hit,150.5,73.7
32.2,15-02-2018,Thursday,09:25:00,76.55,15,PE,25400,Sell,15-02-2018,Thursday,14:52:00,84.55,-120,-10.45068583,15-02-2018,Stop Loss Hit,98.5,9
33,16-02-2018,,09:25:00,25510.85,,,,,16-02-2018,,15:19:00,25178,1371,,,Exit Condition Met For Trade,25556.55,25100.9
33.1,16-02-2018,Friday,09:25:00,240.3,15,CE,25500,Sell,16-02-2018,Friday,15:19:00,97.9,2136,59.25925926,22-02-2018,Exit Condition Met For Trade,262.5,87.05
33.2,16-02-2018,Friday,09:25:00,221.05,15,PE,25500,Sell,16-02-2018,Friday,10:49:00,272.05,-765,-23.07170323,22-02-2018,Stop Loss Hit,274.85,196.2
